(SCHEMES,"Schemes",1)
(LEFT_PAREN,"(",47)
(COMMA,",",47)
(COMMA,",",47)
(RIGHT_PAREN,")",47)
(PERIOD,".",47)
(LEFT_PAREN,"(",48)
(COMMA,",",48)
(COMMA,",",48)
(RIGHT_PAREN,")",48)
(COLON_DASH,":-",48)
(LEFT_PAREN,"(",48)
(COMMA,",",48)
(COMMA,",",48)
(COMMA,",",48)
(RIGHT_PAREN,")",48)
(COMMA,",",48)
(LEFT_PAREN,"(",48)
(COMMA,",",48)
(COMMA,",",48)
(RIGHT_PAREN,")",48)
(PERIOD,".",48)
(LEFT_PAREN,"(",49)
(COMMA,",",49)
(COMMA,",",49)
(COMMA,",",49)
(RIGHT_PAREN,")",49)
(COLON_DASH,":-",49)
(LEFT_PAREN,"(",49)
(COMMA,",",49)
(COMMA,",",49)
(COMMA,",",49)
(RIGHT_PAREN,")",49)
(COMMA,",",49)
(LEFT_PAREN,"(",49)
(COMMA,",",49)
(COMMA,",",49)
(RIGHT_PAREN,")",49)
(COMMA,",",49)
(LEFT_PAREN,"(",49)
(COMMA,",",49)
(RIGHT_PAREN,")",49)
(PERIOD,".",49)
(QUERIES,"Queries",51)
(COLON,":",51)
(LEFT_PAREN,"(",52)
(COMMA,",",52)
(STRING,"'Snoopy'",52)
(COMMA,",",52)
(COMMA,",",52)
(RIGHT_PAREN,")",52)
(Q_MARK,"?",52)
(LEFT_PAREN,"(",53)
(COMMA,",",53)
(STRING,"'33333'",53)
(COMMA,",",53)
(RIGHT_PAREN,")",53)
(Q_MARK,"?",53)
(LEFT_PAREN,"(",54)
(COMMA,",",54)
(STRING,"'CS100'",54)
(RIGHT_PAREN,")",54)
(Q_MARK,"?",54)
(LEFT_PAREN,"(",55)
(STRING,"'EE200'",55)
(COMMA,",",55)
(COMMA,",",55)
(RIGHT_PAREN,")",55)
(Q_MARK,"?",55)
(LEFT_PAREN,"(",56)
(STRING,"'CS101'",56)
(COMMA,",",56)
(RIGHT_PAREN,")",56)
(Q_MARK,"?",56)
(LEFT_PAREN,"(",57)
(RIGHT_PAREN,")",57)
(Q_MARK,"?",57)
(LEFT_PAREN,"(",58)
(STRING,"'CS100'",58)
(COMMA,",",58)
(STRING,"'CS206'",58)
(RIGHT_PAREN,")",58)
(Q_MARK,"?",58)
(LEFT_PAREN,"(",59)
(STRING,"'CS100'",59)
(COMMA,",",59)
(RIGHT_PAREN,")",59)
(Q_MARK,"?",59)
(LEFT_PAREN,"(",60)
(STRING,"'Snoopy'",60)
(COMMA,",",60)
(COMMA,",",60)
(COMMA,",",60)
(COMMA,",",60)
(RIGHT_PAREN,")",60)
(Q_MARK,"?",60)
(LEFT_PAREN,"(",61)
(STRING,"'Snoopy'",61)
(COMMA,",",61)
(COMMA,",",61)
(RIGHT_PAREN,")",61)
(Q_MARK,"?",61)
(LEFT_PAREN,"(",62)
(STRING,"'CS101'",62)
(COMMA,",",62)
(COMMA,",",62)
(COMMA,",",62)
(RIGHT_PAREN,")",62)
(Q_MARK,"?",62)
(EOF,"",63)
Total Tokens = 416
